key,tag,tag_description,tag_content,content,tag_description_en,tag_content_en,content_en
宾夕法尼亚大学,y,相关课程,"产品设计, 需求分析, UI/UX设计 (A+), 行为科学：判断和决策, Javascript前端编程技术 (A+), 统计与数据挖掘方法 (A)",,Courses,"Product Design, Needfinding, UI/UX design (A+), Behavior Science: Judgement and Decision, JavaScript programming (A+), Statistics and Data Mining methods (A)",
华南理工大学,,,,"GPA: 3.9/4.0, 获保研资格",,,GPA: 3.9/4.0
华南理工大学,,,,荣誉奖项,,,Awards and Honors
华南理工大学,,,,"
- 国家奖学金
- “挑战杯”全国大学生课外学术科技作品竞赛 - 特等奖
- 国家级大学生创新创业项目-获10000 元资助
- 优秀学生干部",,,"
- National Scholarship
- “Challenge Cup” National College Student Curricular Academic Science and Technology Works Competition – Top Award
- College Students' Innovative Entrepreneurial Training Plan Program –  10,000RMB funding
- Outstanding Student Leader"
美团,y,相关技能,"数据分析归因, AI提效方案设计与搭建, 大模型微调",,Skills,"Data Analysis and Attribution, Design and Implementation of AI Efficiency Solutions, Fine-Tuning of Large Language Models",